T [K],Cp [J kg^-1 K^-1],Cv [J kg^-1 K^-1],gamma,k [W m^-1 K^-1], mu [Pa s]
100.0,1116.3462961227292,867.4936739043633,1.2868639042615089,0.00647221372891701,5.296598769333772e-06
109.0909090909091,1138.1718121801862,889.3191899618203,1.27982374048293,0.006908012754276099,4.824571578167644e-06
118.18181818181819,1160.025006157862,911.172383939496,1.2731125598236859,0.007552450455367129,4.963704619548538e-06
127.27272727272728,1182.025217670875,933.172595452509,1.266673735845933,0.00827446985359714,5.275025754382741e-06
136.36363636363637,1204.2305849645425,955.3779627461763,1.2604755729377035,0.008804961791337782,5.062240669897399e-06
145.45454545454547,1226.5669043881849,977.7142821698191,1.2545248921454772,0.00956958203668037,5.35184879967626e-06
154.54545454545456,1249.1000464802567,1000.2474242618906,1.248791065272676,0.01035346468242105,5.635837525679405e-06
163.63636363636363,1271.9767637431705,1023.1241415248044,1.2432281793756628,0.011154772243561348,5.916459680186391e-06
172.72727272727275,1295.321840898983,1046.469218680617,1.2378021424577765,0.011943803920115867,6.142036357875337e-06
181.8181818181818,1319.232427879133,1070.3798056607668,1.2324900198063289,0.01274640453996437,6.388967787702169e-06
190.90909090909093,1343.802511008035,1094.949888789669,1.2272730695405993,0.013567124722580984,6.6203225807257735e-06
200.0,1369.108365504195,1120.255743285829,1.2221391175272664,0.014412182428170413,6.887967793468147e-06
209.0909090909091,1395.1961591247816,1146.3435369064157,1.2170838097015255,0.015264423981766103,7.166385353424637e-06
218.1818181818182,1422.0925735537082,1173.2399513353425,1.212107183986643,0.016132060117055622,7.4431003958376036e-06
227.27272727272728,1449.808751179279,1200.9561289609128,1.2072120839532061,0.01701913882755313,7.718164662097103e-06
236.36363636363637,1478.3417972994523,1229.4891750810866,1.2024032641051545,0.017927509260206538,7.99164059394961e-06
245.45454545454547,1507.676498204126,1258.8238759857595,1.1976866080836726,0.018857581061443404,8.263510384662814e-06
254.54545454545456,1537.7870568788173,1288.9344346604514,1.1930684878350093,0.019809124027055678,8.533848249505031e-06
263.6363636363636,1568.6393998775243,1319.7867776591581,1.1885551715101617,0.02078187816526166,8.802855055439896e-06
272.72727272727275,1600.1909284969997,1351.3383062786338,1.184152718132934,0.02177603557081104,9.070676013075514e-06
281.81818181818187,1632.3953267227812,1383.5427045044153,1.17986623861206,0.022586010795672948,9.115526711793057e-06
290.90909090909093,1665.2294407183733,1416.3768185000072,1.175696621808531,0.023642031319777736,9.388723206930891e-06
300.0,1698.631721066596,1449.7790988482295,1.171648648001662,0.02472346531988646,9.670469621011982e-06
309.0909090909091,1732.527573547088,1483.6749513287218,1.167727184445288,0.025832651088340344,9.951019825862213e-06
318.1818181818182,1766.8424568508356,1517.9898346324696,1.1639356315443425,0.026968735349884067,1.0230571904581921e-05
327.27272727272725,1801.5030738941782,1552.650451675812,1.1602760118671744,0.02813068382056429,1.0508500834010447e-05
336.3636363636364,1836.4383593490222,1587.5857371306563,1.1567490916541823,0.0293174119477567,1.0784431018065843e-05
345.4545454545455,1871.580262936102,1622.7276407177355,1.1533545223327177,0.030527862041705427,1.1058794877122189e-05
354.54545454545456,1906.8643371893481,1658.011714970982,1.150090991499853,0.03176146177999256,1.133220304994625e-05
363.6363636363637,1942.2301465195878,1693.3775243012217,1.1469563748468057,0.03301813044152076,1.160478220544521e-05
