T [K],Cp [J kg^-1 K^-1],Cv [J kg^-1 K^-1],gamma,k [W m^-1 K^-1], mu [Pa s]
100.0,1171.127459806574,908.9776795111628,1.2884006793614473,0.006732832656300075,5.085026982335169e-06
109.0909090909091,1192.3260888202128,930.1763085248016,1.2818280554910753,0.007212760431828759,4.698063177720192e-06
118.18181818181819,1213.5139096270707,951.3641293316593,1.2755514657459006,0.00789872261822466,4.8597523624323665e-06
127.27272727272728,1234.7924728263035,972.6426925308922,1.2695232096107947,0.008656834800554033,5.177610091029206e-06
136.36363636363637,1256.2250321897282,994.0752518943168,1.2637122087043782,0.009206762153231492,4.989431266177856e-06
145.45454545454547,1277.7461785158907,1015.5963982204794,1.2581239759758387,0.009997988426181484,5.284506651846011e-06
154.54545454545456,1299.4346128057591,1037.2848325103475,1.252726900152371,0.010808516158049631,5.574103771741219e-06
163.63636363636363,1321.4516359937304,1059.3018556983188,1.247474106540289,0.011636474895989006,5.860525234220627e-06
172.72727272727275,1343.936152326804,1081.7863720313926,1.242330451809208,0.012450645829927453,6.094070162276863e-06
181.8181818181818,1366.9981912625533,1104.8484109671417,1.2372721702753193,0.01328312326141748,6.353554514710231e-06
190.90909090909093,1390.7407633741473,1128.590983078736,1.2322805907772547,0.014126991933005017,6.588299289766108e-06
200.0,1415.248002674268,1153.0982223788567,1.2273438421876959,0.014997222320228714,6.861897433124328e-06
209.0909090909091,1440.5740279915155,1178.4242476961042,1.2224578973217253,0.01587435753308935,7.1460551437711935e-06
218.1818181818182,1466.7514663411346,1204.6016860457232,1.217623620597739,0.016766939848718066,7.428652727950764e-06
227.27272727272728,1493.7955382272999,1231.6457579318883,1.2128451128152296,0.017679330312957996,7.709759275296084e-06
236.36363636363637,1521.7061700811169,1259.5563897857055,1.2081286573759609,0.01861357471756657,7.989448667034473e-06
245.45454545454547,1550.4697415383996,1288.3199612429885,1.2034818897337316,0.019570121919296236,8.26768950051185e-06
254.54545454545456,1580.0608563643875,1317.9110760689764,1.1989131019957304,0.020548695086184395,8.544529081313039e-06
263.6363636363636,1610.444833040766,1348.295052745355,1.1944305734576643,0.021549021408853206,8.820145565060621e-06
272.72727272727275,1641.5776315768696,1379.427851281458,1.190042400587954,0.022571350538520746,9.0946717352654e-06
281.81818181818187,1673.409961692682,1411.2601813972703,1.1857558115441622,0.023465071690142062,9.215055673710026e-06
290.90909090909093,1705.9069384410334,1443.7571581456218,1.1815747051478656,0.02454574386174275,9.490780616557093e-06
300.0,1739.0051076427515,1476.8553273473403,1.1775053896215226,0.025652052071903055,9.774654056990863e-06
309.0909090909091,1772.630884068783,1510.4811037733716,1.1735538297304933,0.026785775352479797,1.0057242217178805e-05
318.1818181818182,1806.710281237733,1544.5605009423216,1.1697245139542778,0.027946315697779105,1.0338607163287397e-05
327.27272727272725,1841.170168147847,1579.0203878524358,1.1660205164620776,0.029132629593318055,1.061829063201221e-05
336.3636363636364,1875.9393201501857,1613.7895398547746,1.1624435986361654,0.030343616121285014,1.0896019638105632e-05
345.4545454545455,1910.949260541917,1648.7994802465055,1.1589943370531743,0.031578377797224784,1.1172085440704974e-05
354.54545454545456,1946.134899854013,1683.9851195586016,1.1556722664889847,0.03283655157096185,1.1446908941117737e-05
363.6363636363637,1981.4349890679516,1719.2852087725403,1.1524760283854065,0.034118178556345045,1.1720576807204931e-05
372.72727272727275,2016.7924099998968,1754.6426297044857,1.149403517193448,0.03542317413038416,1.1992814972050558e-05
381.81818181818187,2052.1543302459,1790.0045499504884,1.1464520189642327,0.036750996803543434,1.2263307883405781e-05
390.90909090909093,2087.4722512539715,1825.3224709585597,1.1436183383847485,0.03810084910307985,1.2531995434567956e-05
400.0,2122.7019764778984,1860.5521961824866,1.1408989120720694,0.03947198836709425,1.2799032456230746e-05
409.0909090909091,2157.803522617215,1895.6537423218035,1.1382899072983284,0.04086358778695572,1.306446340720995e-05
418.1818181818182,2192.7409913677,1930.591211072289,1.135787306391915,0.04227466667200417,1.3328107585109848e-05
427.2727272727273,2227.4824188138136,1965.332638518402,1.133386977429448,0.04370488810688787,1.3589911210735277e-05
436.3636363636364,2261.9999533221167,1999.8501730267049,1.1310847101603902,0.0451544595847303,1.3850033705393317e-05
445.4545454545455,2296.269149558325,2034.1193692629133,1.128876301094564,0.046622639690078176,1.4108352975983585e-05
454.54545454545456,2330.26980634645,2068.120026051038,1.12675752712282,0.04810814499395081,1.4364885444479075e-05
463.6363636363637,2363.990537226495,2101.8407569310834,1.1247239018612327,0.04960939654737897,1.4619635018389564e-05
472.72727272727275,2397.4290175706774,2135.279237275266,1.1227707251206773,0.05112803773550892,1.4874022057256582e-05
481.81818181818187,2430.6029110779036,2168.4531307824923,1.1208925277535575,0.05266165952123968,1.5127225847431407e-05
490.90909090909093,2463.504748769096,2201.354968473684,1.1190856468174117,0.05420949786127446,1.5378894319247812e-05
500.00000000000006,2496.127484229386,2233.9777039339747,1.1173466412998538,0.05577157572768335,1.562901133896356e-05
509.0909090909091,2528.4700899210998,2266.3203096256884,1.1156719900457093,0.05734666077907978,1.587728333145543e-05
518.1818181818182,2560.532913118694,2298.3831328232827,1.1140583467358605,0.058934734119989264,1.6124084217667352e-05
527.2727272727273,2592.3137700416055,2330.1639897461937,1.1125027171688313,0.06053524275985796,1.6369561240015425e-05
536.3636363636364,2623.82630074372,2361.676520448308,1.1110015609782362,0.06214771122081523,1.6614132316346496e-05
545.4545454545455,2655.0759729972674,2392.9261927018556,1.1095519707607104,0.06377130449807172,1.6857281742802382e-05
554.5454545454545,2686.064189286159,2423.9144089907477,1.1081514179391192,0.06540569102665492,1.709892351266492e-05
563.6363636363637,2716.800690002062,2454.6509097066505,1.1067971739927533,0.06705033122687244,1.7339438014106347e-05
572.7272727272727,2747.2878244438252,2485.138044148414,1.1054870094289844,0.0687033776900913,1.7578372532690985e-05
581.8181818181819,2777.5462056599918,2515.3964253645804,1.104218077775719,0.07036751463581681,1.781795758175873e-05
590.909090909091,2807.6242424608827,2545.474462165471,1.1029866078767874,0.07204006303444152,1.8056593722344337e-05
600.0,2837.52489753332,2575.3751172379084,1.1017909113669497,0.0737207395728883,1.8293854328335824e-05
609.0909090909091,2867.2492361308814,2605.09945583547,1.1006294710584623,0.0754057489273158,1.8530032389817093e-05
618.1818181818182,2896.7985418344515,2634.64876153904,1.0995008458517543,0.07709693818484022,1.876499500780106e-05
627.2727272727274,2926.175165099027,2664.0253848036155,1.0984036345114392,0.07878844666494617,1.8999219883511662e-05
